Province,Schools,Total Enrolment,Girls Enrolled,Total Repeaters,Girls Repeating,Total Teachers,Female Teachers,% Girls Enrolled,% Female Teachers,% Girls Repeating
Kampong Chhnang,472,117538,59843,6008,1986,3532,1719,50.91,48.67,33.06
Kandal,756,258461,127877,14548,5131,7345,4118,49.48,56.07,35.27
Phnom Penh,381,242175,118392,5601,2039,9294,5377,48.89,57.85,36.4
Prey Veng,1063,239206,117724,10476,3699,5762,2753,49.21,47.78,35.31
Svay Rieng,509,119640,59271,3372,1135,3686,1443,49.54,39.15,33.66
Kampong Speu,625,166343,82765,5690,2201,4322,1962,49.76,45.4,38.68
Kampot,612,127618,62743,4102,1376,4671,2322,49.16,49.71,33.54
Koh Kong,223,27262,13349,739,291,1157,547,48.97,47.28,39.38
Preah Sihanouk,158,42971,21414,1531,571,1650,841,49.83,50.97,37.3
Takeo,799,199945,98992,10440,3598,6433,2658,49.51,41.32,34.46
Kep,50,8966,4478,318,106,474,249,49.94,52.53,33.33
Battambang,1164,255335,127247,11140,4063,7034,4235,49.84,60.21,36.47
Pursat,548,106491,53527,6132,2243,3168,1587,50.26,50.09,36.58
Pailin,82,16235,8175,622,229,670,347,50.35,51.79,36.82
Banteay Meanchey,815,159964,80509,4159,1409,4829,2534,50.33,52.47,33.88
Kampong Thom,795,155933,79307,7230,2592,4313,2433,50.86,56.41,35.85
Preah Vihear,408,57606,29467,3995,1503,2131,1113,51.15,52.23,37.62
Siemreap,1090,273052,138304,15094,5183,6080,3828,50.65,62.96,34.34
Oddar Meanchey,364,56342,27823,3259,1203,1592,749,49.38,47.05,36.91
Kampong Cham,821,222357,110922,12742,4550,5636,3274,49.88,58.09,35.71
Tbaung Khmum,717,169638,85139,7381,2754,3894,2162,50.19,55.52,37.31
Kratie,443,88008,43964,5469,2112,2636,1664,49.95,63.13,38.62
Mondul Kiri,130,20822,10662,666,229,905,456,51.21,50.39,34.38
Ratanak Kiri,319,55554,27171,1687,689,1354,656,48.91,48.45,40.84
Stung Treng,253,36013,18006,3131,1253,1388,770,50.0,55.48,40.02
